TIMING_STATS_HEADER	row_index	timestamp_iso	timestamp_unix	prompt_tokens	kv_len	generated_tokens	elapsed_seconds	tokens_per_second	prompt_start_to_prompt_start_seconds	max_context_tokens	max_kv_size	repetition_window	loop_detection_mode	prefill_start_offset	memory_architecture	memory_device_name	memory_max_buffer_length	memory_max_recommended_working_set_size	memory_memory_size	memory_resource_limit
TIMING_STATS	1	2026-01-28T07:30:53.085471Z	1769607053.085471	114	114	555	10.616277874913067	52.278209607860774	None	16384	None	256	cheap	0	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	2	2026-01-28T07:31:01.150787Z	1769607061.150787	220	220	407	7.966332540847361	51.090008848250804	10.802981082815677	16384	None	256	cheap	111	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	3	2026-01-28T07:31:11.111154Z	1769607071.111154	469	469	498	9.901027792133391	50.29780851596772	8.0250128749758	16384	None	256	cheap	217	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	4	2026-01-28T07:31:16.933452Z	1769607076.933452	844	844	262	5.760107708163559	45.485260567033905	9.96349291689694	16384	None	256	cheap	466	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	5	2026-01-28T07:31:23.495728Z	1769607083.495728	1015	1015	316	6.513526958879083	48.514422676832005	5.809103041887283	16384	None	256	cheap	841	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	6	2026-01-28T07:31:32.098606Z	1769607092.098606	1236	1236	407	8.550207792315632	47.60118232047939	6.565853166393936	16384	None	256	cheap	1012	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	7	2026-01-28T07:31:39.213002Z	1769607099.213002	1571	1571	307	7.053861124906689	43.52226313557614	8.608326041605324	16384	None	256	cheap	1233	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	8	2026-01-28T07:31:45.672902Z	1769607105.672902	1808	1808	272	6.400799582712352	42.49469093433784	7.110978750046343	16384	None	256	cheap	1568	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	9	2026-01-28T07:31:54.332642Z	1769607114.332642	2034	2034	367	8.603024125099182	42.65941774233592	6.456839750055224	16384	None	256	cheap	1805	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	10	2026-01-28T07:32:09.644025Z	1769607129.644025	2387	2387	625	15.243283208925277	41.00166554893166	8.670893083326519	16384	None	256	cheap	2031	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	11	2026-01-28T07:32:20.689328Z	1769607140.689328	2980	2980	387	10.932968750130385	35.39752183005048	15.344872666988522	16384	None	256	cheap	2384	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	12	2026-01-28T07:32:33.524759Z	1769607153.524759	3292	3292	486	12.7524056667462	38.1104563876381	11.02153016673401	16384	None	256	cheap	2977	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	13	2026-01-28T07:32:52.451200Z	1769607172.4512	3744	3744	723	18.856613541021943	38.34198534255036	12.829357750248164	16384	None	256	cheap	3289	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	14	2026-01-28T07:33:05.139040Z	1769607185.13904	4401	4401	463	12.580190666951239	36.80389369743998	18.95560516556725	16384	None	256	cheap	3741	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	15	2026-01-28T07:33:15.565955Z	1769607195.565955	4800	4800	364	10.338864500168711	35.20696107334226	12.663963292259723	16384	None	256	cheap	4398	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	16	2026-01-28T07:33:29.965182Z	1769607209.965182	5107	5107	521	14.313000416848809	36.40047403245342	10.425379292108119	16384	None	256	cheap	4797	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	17	2026-01-28T07:33:49.761436Z	1769607229.761436	5574	5574	666	19.7170117078349	33.777938050082575	14.401928707957268	16384	None	256	cheap	5104	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	18	2026-01-28T07:34:10.766818Z	1769607250.766818	6194	6194	656	20.919890792109072	31.35771627677146	19.801807374693453	16384	None	256	cheap	5571	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	19	2026-01-28T07:34:22.385475Z	1769607262.385475	6823	6823	312	11.515411250293255	27.09412570845479	21.01310612540692	16384	None	256	cheap	6191	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	20	2026-01-28T07:34:44.949675Z	1769607284.949675	7116	7116	677	22.48067987523973	30.114747585799186	11.59872604161501	16384	None	256	cheap	6820	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
