datetime	row_index	timestamp_iso	timestamp_unix	prompt_tokens	kv_len	generated_tokens	elapsed_seconds	tokens_per_second	prompt_start_to_prompt_start_seconds	max_context_tokens	max_kv_size	repetition_window	loop_detection_mode	prefill_start_offset	memory_architecture	memory_device_name	memory_max_buffer_length	memory_max_recommended_working_set_size	memory_memory_size	memory_resource_limit	free_bytes	active_bytes	specul_bytes	inactive_bytes	throttle_bytes	wired_bytes	prgable_bytes	faults_bytes	copy_bytes	0fill_bytes	reactive_bytes	purged_bytes	file-backed_bytes	anonymous_bytes	cmprssed_bytes	cmprssor_bytes	dcomprs_bytes	comprs_bytes	pageins_bytes	pageout_bytes
2026-01-28 00:23:11																					266403840	24019599360	0	11617026048	561119232	379420672	39649280	3144548352	0	0	18948243456	29622272000	39086702592	19875315712	0	0	64307200	0	0	0
2026-01-28 00:23:12																					273809408	24199872512	0	11474632704	590446592	366870528	17252352	112640000	0	0	19121242112	29771120640	39086686208	19875315712	16384	0	176668672	0	0	0
2026-01-28 00:23:13																					269025280	24368709632	0	11381145600	607125504	268697600	2801664	61341696	0	0	19305922560	29842849792	39086669824	19875315712	16384	0	177946624	0	0	0
2026-01-28 00:23:14																					271777792	24532516864	0	11253891072	605765632	286605312	12124160	67846144	0	0	19485376512	29964615680	39086669824	19875315712	0	0	177864704	0	0	0
2026-01-28 00:23:15																					275136512	24709103616	0	11138842624	615989248	237191168	2392064	49397760	0	0	19665813504	30078205952	39086669824	19875315712	0	0	178798592	0	0	0
2026-01-28 00:23:16																					276119552	24886460416	0	11527716864	617070592	284606464	12288000	328384512	0	0	19844775936	30016815104	39086669824	19875315712	0	0	179437568	0	0	0
2026-01-28 00:23:17																					276856832	25025921024	0	11556552704	615972864	257835008	1409024	81248256	0	0	20013432832	29973823488	39086538752	19875217408	131072	0	164986880	0	0	0
2026-01-28 00:23:18																					283656192	25178357760	0	11488493568	616693760	227852288	950272	54165504	0	16384	20185055232	30029414400	39086538752	19875217408	0	0	171868160	0	0	0
2026-01-28 00:23:19																					283197440	25349849088	0	11519459328	614875136	283295744	12550144	67469312	0	0	20356366336	29998235648	39086538752	19875217408	0	0	169787392	0	0	0
2026-01-28 00:23:20																					293240832	25495535616	0	12594839552	524058624	417775616	14385152	640516096	0	2752512	20540096512	29542678528	39086522368	19875217408	16384	0	181714944	0	0	0
2026-01-28 00:23:21																					289849344	25670418432	0	12589973504	524386304	355500032	19775488	72417280	802816	0	20723908608	29529866240	39086522368	19875217408	0	0	181796864	0	0	0
2026-01-28 00:23:22																					287653888	25834782720	0	12543787008	549240832	260767744	1720320	78757888	0	16384	20889042944	29576298496	39086522368	19875217408	0	0	161857536	0	0	0
2026-01-28 00:23:23																					293175296	25959464960	0	13096927232	558448640	237682688	13336576	594280448	0	0	21019459584	29658644480	39086522368	19875217408	0	0	127205376	0	0	0
2026-01-28 00:23:24																					290144256	26077134848	0	13094256640	558219264	168034304	950272	43155456	0	0	21135736832	29661986816	39086522368	19875217408	0	0	112836608	0	0	0
2026-01-28 00:23:25																					300007424	26181812224	0	13061947392	558399488	278593536	22446080	74121216	0	0	21250965504	29692248064	39086522368	19875217408	0	0	119586816	0	0	0
2026-01-28 00:23:26																					297943040	26273431552	0	13093453824	539508736	192757760	4866048	56016896	0	0	21349335040	29646782464	39086522368	19875217408	0	0	97484800	0	0	0
2026-01-28 00:23:27																					306364416	26356383744	0	13079232512	549388288	208846848	12369920	82919424	0	0	21440937984	29657579520	39086522368	19875217408	0	0	90996736	0	0	0
2026-01-28 00:23:28																					302383104	26478002176	0	13083017216	548978688	186777600	1359872	53149696	0	0	21561245696	29658021888	39086522368	19875217408	0	0	118996992	0	0	0
2026-01-28 00:23:29																					297353216	26596098048	0	13692928000	548651008	220233728	13500416	586727424	0	0	21674508288	29655580672	39086505984	19875217408	16384	0	109051904	0	0	0
2026-01-28 00:23:30																					301268992	26684932096	0	13663764480	558268416	136724480	950272	42188800	0	0	21767290880	29684482048	39086505984	19875217408	0	0	91930624	0	0	0
2026-01-28 00:23:32																					301187072	26869170176	0	13759987712	538181632	247005184	13844480	86016000	0	0	21981118464	29578231808	39086505984	19875217408	0	0	115441664	0	0	0
2026-01-28 00:23:33																					305922048	26874265600	0	13760495616	537608192	150700032	950272	46415872	0	0	22079520768	29452288000	39086489600	19875217408	16384	0	103628800	0	0	0
2026-01-28 00:23:34																					315817984	26941685760	0	14431240192	479428608	263356416	12517376	638222336	0	32768	22199975936	29377101824	39086489600	19875217408	0	0	118538240	0	0	0
2026-01-28 00:23:35																					308215808	27069562880	0	14317551616	556875776	185991168	950272	51036160	0	32768	22322200576	29490544640	39086489600	19875217408	0	0	119291904	0	0	0
2026-01-28 00:23:36																					305446912	27190476800	0	14270152704	556367872	231997440	12025856	56377344	0	0	22440574976	29538156544	39086489600	19875217408	0	0	116031488	0	0	0
2026-01-28 00:23:37																					305315840	27311128576	0	14283145216	556040192	202522624	1720320	72908800	0	0	22561161216	29541793792	39086489600	19875217408	0	0	118358016	0	0	0
2026-01-28 00:23:38																					315260928	27409907712	0	14286700544	557367296	197443584	11976704	54870016	0	0	22672261120	29535813632	39086489600	19875217408	0	0	113000448	0	0	0
2026-01-28 00:23:39																					312885248	27480342528	0	14373453824	486719488	180207616	950272	54296576	0	16384	22786441216	29454319616	39086489600	19875217408	0	0	110428160	0	0	0
2026-01-28 00:23:40																					310165504	27592507392	0	14992244736	534183936	210862080	12320768	586072064	0	0	22896197632	29460889600	39086489600	19875217408	0	0	107134976	0	0	0
2026-01-28 00:23:41																					316522496	27686338560	0	14950088704	546930688	151207936	2392064	45957120	0	0	22996484096	29503258624	39086489600	19875217408	0	0	101892096	0	0	0
2026-01-28 00:23:42																					320815104	27784462336	0	14917206016	558170112	226082816	12173312	85147648	0	0	23098949632	29536026624	39086489600	19875217408	0	0	101941248	0	0	0
2026-01-28 00:23:43																					320995328	27907194880	0	14930788352	544636928	179257344	2277376	45252608	0	0	23221846016	29521821696	39086489600	19875217408	0	0	121700352	0	0	0
2026-01-28 00:23:44																					321437696	28018196480	0	14879686656	555302912	171769856	950272	51150848	0	0	23335059456	29567647744	39086489600	19875217408	0	0	111656960	0	0	0
2026-01-28 00:23:45																					315670528	28141125632	0	14858240000	569917440	226443264	13516800	58261504	0	0	23452336128	29586767872	39086489600	19875217408	0	0	113033216	0	0	0
2026-01-28 00:23:46																					323223552	28242903040	0	15487926272	570507264	156041216	1359872	577191936	0	0	23561830400	29571858432	39086489600	19875217408	0	0	110968832	0	0	0
2026-01-28 00:23:47																					322715648	28350824448	0	15505440768	570130432	236077056	12500992	84656128	0	0	23669293056	29553426432	39086489600	19875217408	0	0	106283008	0	0	0
2026-01-28 00:23:48																					323551232	28464807936	0	15492890624	570081280	162906112	950272	41926656	0	0	23784685568	29560700928	39086489600	19875217408	0	0	111198208	0	0	0
2026-01-28 00:23:49																					330121216	28575973376	0	15523217408	559300608	221708288	12288000	59392000	0	0	23902437376	29529800704	39086489600	19875217408	0	0	119504896	0	0	0
2026-01-28 00:23:50																					331792384	28685254656	0	15511470080	554713088	172081152	950272	54345728	0	2785280	24013422592	29539385344	39086489600	19875217408	0	0	110559232	0	0	0
2026-01-28 00:23:51																					324681728	28813377536	0	16115056640	555335680	225263616	11927552	586792960	524288	0	24134500352	29530161152	39086456832	19875217408	32768	0	115245056	0	0	0
2026-01-28 00:23:53																					331563008	29051781120	0	16137093120	555352064	207831040	11894784	53968896	0	0	24379801600	29526523904	39086456832	19875217408	0	0	118390784	0	0	0
2026-01-28 00:23:54																					331022336	29153460224	0	16108486656	554369024	164806656	950272	43712512	0	9437184	24493342720	29509369856	39086456832	19875217408	0	0	112967680	0	0	0
2026-01-28 00:23:55																					333004800	29263937536	0	16156180480	543571968	195510272	6782976	57950208	0	0	24605982720	29488709632	39086456832	19875217408	0	0	109723648	0	0	0
2026-01-28 00:23:56																					333479936	29386964992	0	16712548352	563740672	195870720	6520832	578273280	0	0	24729419776	29549854720	39086456832	19875217408	0	0	123092992	0	0	0
2026-01-28 00:23:57																					334528512	29502865408	0	16737943552	566689792	198705152	1310720	73842688	0	0	24846352384	29525278720	39086456832	19875217408	0	0	113065984	0	0	0
2026-01-28 00:23:58																					344113152	29609033728	0	16770367488	555204608	219316224	12353536	65978368	0	0	24962318336	29493526528	39086358528	19875184640	98304	0	117735424	0	0	0
2026-01-28 00:23:59																					339886080	29719986176	0	16772448256	553746432	163741696	950272	46776320	0	0	25069256704	29493182464	39086358528	19875184640	0	0	104546304	0	0	0
2026-01-28 00:24:00																					342196224	29811900416	0	16780623872	544309248	212500480	12222464	64372736	0	0	25176276992	29484417024	39086358528	19875184640	0	0	108265472	0	0	0
2026-01-28 00:24:01																					343179264	29919870976	0	16717758464	545734656	177618944	3719168	51478528	0	0	25286328320	29549101056	39086358528	19875184640	0	0	108052480	0	0	0
2026-01-28 00:24:02																					344670208	30030004224	0	17389191168	554450944	241811456	12599296	617922560	0	0	25398018048	29489741824	39086358528	19875184640	0	0	111034368	0	0	0
2026-01-28 00:24:03																					341786624	30119854080	0	17472126976	479690752	213336064	966656	86605824	0	0	25512771584	29415522304	39086358528	19875184640	0	0	110379008	0	0	0
2026-01-28 00:24:04																					368771072	30220189696	0	17361715200	523354112	206716928	12369920	62324736	0	0	25640173568	29519052800	39086325760	19875168256	32768	0	105644032	0	0	0
2026-01-28 00:24:05																					375832576	30331387904	0	17346707456	570408960	170393600	950272	50692096	0	16384	25758973952	29536550912	39085375488	19874971648	950272	0	112345088	0	0	0
2026-01-28 00:24:06																					384516096	30336516096	0	17405313024	544555008	604553216	22364160	339460096	0	16384	25863192576	29501341696	39085342720	19874938880	32768	0	104267776	0	0	0
2026-01-28 00:24:07																					376750080	30455873536	0	17979342848	565280768	499138560	2162688	829210624	0	0	25974964224	29604741120	39085342720	19874938880	0	0	110100480	0	0	0
2026-01-28 00:24:08																					383270912	30545068032	0	17987256320	555532288	609746944	12124160	473088000	16384	0	26070695936	29745627136	39085342720	19874938880	0	0	95666176	0	0	0
2026-01-28 00:24:09																					382713856	30611111936	0	18069684224	494075904	602882048	950272	504922112	0	0	26160070656	29833396224	39085342720	19874938880	0	0	84770816	0	0	0
2026-01-28 00:24:10																					382730240	30643912704	0	18558795776	538853376	464404480	6930432	678526976	0	16384	26234404864	29755211776	39085326336	19874938880	16384	0	76283904	0	0	0
2026-01-28 00:24:11																					388513792	30715904000	0	18399002624	546144256	158105600	6668288	58507264	0	0	26312228864	29921394688	39085326336	19874938880	0	0	72728576	0	0	0
2026-01-28 00:24:12																					384303104	30798577664	0	18001788928	563822592	273842176	1310720	150011904	0	32768	26390839296	30334795776	39085326336	19874938880	0	0	83116032	0	0	0
2026-01-28 00:24:14																					380993536	30933155840	0	17965416448	581746688	115638272	2392064	46039040	0	0	26522124288	30376886272	39085326336	19874938880	0	0	58687488	0	0	0
2026-01-28 00:24:15																					384417792	31034802176	0	18619957248	562561024	195461120	11829248	584007680	0	16384	26627440640	30341939200	39085326336	19874938880	0	0	101040128	0	0	0
2026-01-28 00:24:16																					387170304	31129550848	0	18588909568	573554688	162545664	2277376	53837824	0	16384	26724941824	30376312832	39085326336	19874938880	0	0	99762176	0	0	0
2026-01-28 00:24:17																					394919936	31234228224	0	18606817280	571408384	231260160	12288000	83640320	0	0	26837417984	30358011904	39085326336	19874938880	0	0	114606080	0	0	0
2026-01-28 00:24:18																					391249920	31345344512	0	18609635328	570687488	158269440	950272	42074112	0	0	26944897024	30257217536	39085326336	19874938880	0	0	104382464	0	0	0
2026-01-28 00:24:19																					396951552	31444008960	0	18604949504	569982976	196231168	12222464	54689792	0	0	27049279488	30256676864	39085326336	19874938880	0	0	104136704	0	0	0
2026-01-28 00:24:20																					390578176	31563939840	0	18604507136	567672832	169836544	950272	44449792	16384	3801088	27162853376	30254104576	39085326336	19874938880	0	0	111935488	0	0	0
2026-01-28 00:24:21																					398999552	31656968192	0	19196002304	569982976	186073088	12222464	581517312	573440	16384	27264368640	30280155136	39085326336	19874938880	0	0	102629376	0	0	0
2026-01-28 00:24:22																					393117696	31774343168	0	19231358976	555384832	248709120	5636096	91635712	0	32768	27375878144	30249992192	39085326336	19874938880	0	0	108052480	0	0	0
2026-01-28 00:24:23																					394592256	31884853248	0	19254083584	545374208	160268288	966656	43499520	0	0	27487862784	30227939328	39085326336	19874938880	0	0	105709568	0	0	0
2026-01-28 00:24:24																					402522112	31980257280	0	19247005696	545488896	195919872	13418496	54689792	0	0	27591196672	30234083328	39085326336	19874938880	0	0	107708416	0	0	0
2026-01-28 00:24:25																					405979136	32096206848	0	19237568512	555515904	170311680	1359872	46596096	0	0	27710636032	30243848192	39085326336	19874938880	0	0	116768768	0	0	0
2026-01-28 00:24:26																					398278656	32212680704	0	19830423552	554713088	210518016	12107776	583434240	0	0	27819442176	30243471360	39085309952	19874922496	16384	0	106119168	0	0	0
2026-01-28 00:24:27																					407126016	32322306048	0	19825524736	556974080	264355840	6225920	97107968	0	0	27938095104	30266703872	39085309952	19874922496	0	0	120176640	0	0	0
2026-01-28 00:24:28																					409436160	32429260800	0	19788742656	545751040	214679552	13877248	59457536	0	0	28047409152	30300012544	39085309952	19874922496	0	0	107839488	0	0	0
2026-01-28 00:24:29																					402325504	32535052288	0	19830620160	554811392	169541632	983040	44433408	0	0	28159787008	30230052864	39085309952	19874922496	0	0	109248512	0	0	0
2026-01-28 00:24:30																					408600576	32646152192	0	19841892352	555646976	207077376	12042240	53936128	0	0	28277161984	30236131328	39085309952	19874922496	0	0	120963072	0	0	0
2026-01-28 00:24:31																					407011328	32759496704	0	20477476864	555548672	166789120	1359872	576077824	0	49152	28388933632	30231183360	39085309952	19874922496	0	0	107020288	0	0	0
2026-01-28 00:24:32																					407093248	32877854720	0	20472053760	556859392	260931584	13762560	92946432	0	0	28507373568	30240686080	39085309952	19874922496	0	0	107315200	0	0	0
2026-01-28 00:24:33																					413351936	32989462528	0	20496629760	545734656	161398784	950272	43253760	0	0	28625240064	30212702208	39085309952	19874922496	0	0	125960192	0	0	0
2026-01-28 00:24:35																					417382400	33203798016	0	20498513920	546619392	157007872	950272	43909120	0	344064	28843737088	30213505024	39085309952	19874922496	0	0	112672768	0	0	0
2026-01-28 00:24:36																					414597120	33320288256	0	20476968960	558235648	167493632	1245184	43319296	0	32768	28957458432	30235525120	39085309952	19874922496	0	0	109543424	0	0	0
2026-01-28 00:24:37																					416137216	33426849792	0	20460175360	569720832	250150912	13533184	94486528	0	0	29066313728	30253236224	39085309952	19874922496	0	0	109363200	0	0	0
2026-01-28 00:24:38																					420003840	33532968960	0	21084962816	560627712	155664384	950272	574160896	0	0	29176299520	30238179328	39085293568	19874922496	16384	0	110526464	0	0	0
