TIMING_STATS_HEADER	row_index	timestamp_iso	timestamp_unix	prompt_tokens	kv_len	generated_tokens	elapsed_seconds	tokens_per_second	prompt_start_to_prompt_start_seconds	max_context_tokens	max_kv_size	repetition_window	loop_detection_mode	prefill_start_offset	memory_architecture	memory_device_name	memory_max_buffer_length	memory_max_recommended_working_set_size	memory_memory_size	memory_resource_limit
TIMING_STATS	1	2026-01-28T12:12:15.556976Z	1769623935.556976	114	114	555	10.70282004121691	51.855492091119615	None	16384	None	256	cheap	0	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	2	2026-01-28T12:12:23.656372Z	1769623943.656372	220	220	407	7.9990102499723434	50.88129497038802	10.892887916881591	16384	None	256	cheap	111	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	3	2026-01-28T12:12:33.700003Z	1769623953.700003	469	469	498	9.984200541861355	49.87880581044077	8.05849679093808	16384	None	256	cheap	217	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	4	2026-01-28T12:12:39.567611Z	1769623959.567611	844	844	262	5.80753816710785	45.113780135598454	10.043398208916187	16384	None	256	cheap	466	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	5	2026-01-28T12:12:46.303822Z	1769623966.303822	1015	1015	316	6.685057332739234	47.269602079914776	5.8581575830467045	16384	None	256	cheap	841	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	6	2026-01-28T12:12:54.838031Z	1769623974.838031	1236	1236	407	8.481010500341654	47.98956444914249	6.738950707949698	16384	None	256	cheap	1012	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	7	2026-01-28T12:13:01.678293Z	1769623981.678293	1571	1571	307	6.780111250001937	45.279493017155474	8.53992420900613	16384	None	256	cheap	1233	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	8	2026-01-28T12:13:07.917082Z	1769623987.917082	1808	1808	272	6.175393666606396	44.04577500392358	6.83387833321467	16384	None	256	cheap	1568	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	9	2026-01-28T12:13:16.440426Z	1769623996.440426	2034	2034	367	8.465076082851738	43.35460147174059	6.240437124855816	16384	None	256	cheap	1805	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	10	2026-01-28T12:13:31.285097Z	1769624011.285097	2387	2387	625	14.764431416988373	42.33146420260094	8.527741916943341	16384	None	256	cheap	2031	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	11	2026-01-28T12:13:41.995755Z	1769624021.995755	2980	2980	387	10.618413832969964	36.44612143466971	14.867466083262116	16384	None	256	cheap	2384	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	12	2026-01-28T12:13:54.643426Z	1769624034.643426	3292	3292	486	12.517349207773805	38.8261118175223	10.727761999703944	16384	None	256	cheap	2977	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	13	2026-01-28T12:14:13.558608Z	1769624053.558608	3744	3744	723	18.840907792095095	38.37394715680008	12.620328417047858	16384	None	256	cheap	3289	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	14	2026-01-28T12:14:26.321299Z	1769624066.321299	4401	4401	463	12.647355374880135	36.60844392177033	18.945819625165313	16384	None	256	cheap	3741	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	15	2026-01-28T12:14:36.584580Z	1769624076.58458	4800	4800	364	10.169539334252477	35.79316506245228	12.73600420774892	16384	None	256	cheap	4398	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	16	2026-01-28T12:14:51.314294Z	1769624091.314294	5107	5107	521	14.626584750134498	35.62007186914971	10.26641054218635	16384	None	256	cheap	4797	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	17	2026-01-28T12:15:20.366421Z	1769624120.366421	5574	5574	666	28.94978087488562	23.00535547672367	14.736041666008532	16384	None	256	cheap	5104	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	18	2026-01-28T12:16:01.910231Z	1769624161.910231	6194	6194	656	41.45677200006321	15.823711503611515	29.04704699991271	16384	None	256	cheap	5571	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	19	2026-01-28T12:16:13.807923Z	1769624173.807923	6823	6823	312	11.811823542229831	26.414211055941728	41.54331179196015	16384	None	256	cheap	6191	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	20	2026-01-28T12:16:35.960734Z	1769624195.960734	7116	7116	677	22.074584458954632	30.668753980796797	11.882725332863629	16384	None	256	cheap	6820	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
